novdescription,bbl,violationid
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           NORTH WALL,         EAST WALL IN THE 3rd ROOM  FROM EAST LOCATED AT APT 9, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",1016280050,11797703
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           CEILING,         EAST WALL,         WEST WALL IN THE BATHROOM  LOCATED AT APT 9, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",1016280050,11797704
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           WEST WALL,         NORTH WALL IN THE 2nd ROOM  FROM EAST LOCATED AT APT 9, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",1016280050,11804531
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           CEILING,         NORTH WALL,         EAST WALL IN THE KITCHEN  LOCATED AT APT 9, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",1016280050,11804534
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE KITCHEN ,  THE BATHROOM ,  THE 2nd ROOM  FROM EAST  LOCATED AT APT 9, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",1016280050,11807693
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE 1st ROOM  FROM EAST,  THE BATHROOM   LOCATED AT APT 12, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,11885828
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 32, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST",1016280050,8690604
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  IN THE KITCHEN  LOCATED AT APT 11, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",1016280050,11785610
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING  IN THE 1st ROOM  FROM EAST AT NORTH LOCATED AT APT 11, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",1016280050,11785617
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE WEST AND NORTH WALLS  IN THE 1st ROOM  FROM EAST AT NORTH LOCATED AT APT 11, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",1016280050,11785622
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE KITCHEN ,  THE BATHROOM ,  THE 2nd ROOM  FROM EAST AT NORTH,  THE 1st ROOM  FROM EAST  LOCATED AT APT 12, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,11788026
"SECTION 27-2005 ADM CODE & 309 M/D LAW  ABATE THE NUISANCE CONSISTING OF HOT WATER EXCEEDING 130 DEGREES FARENHEIT AT ALL HOT WATER FIXTURES  IN THE ENTIRE APARTMENT  LOCATED AT APT 3, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,12138872
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOODEN FLOOR.  IN THE KITCHEN  LOCATED AT APT 3, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,12138880
"SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 1; WG TO REPLACE = 0; WG TO REPAIR = 0;         LOCATED AT APT 9, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",1016280050,11804545
"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... 3 SQ FT AT WEST WALL AND 3 SQ FT AT           SOUTH WALL IN THE BATHROOM  LOCATED AT APT 12, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,11884502
"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING AND           NORTH WALL IN THE BATHROOM  LOCATED AT APT 12, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,11884503
"SECTION  27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.  AT PUBLIC HALL, 1st STORY",1016280050,11804551
"SECTION 27-2005, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES CONSISTING OF PLASTIC SHEET COVER HANGING FROM 6TH STORY BALCONY OBSTRUCTING WINDOW AT BUILDING SOUTH",1016280050,12122103
"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE.  LOCATED AT APT 3, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,12138888
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE.  LOCATED AT APT 3, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,12138903
SECTION 62 M/D LAW  REARRANGE TELEVISION AND/OR RADIO ANTENNA TO BE AT LEAST 10 FEET ABOVE ROOF AND NOT ATTACHED TO ANY FIRE ESCAPE OR SOIL OR VENT LINE ..,1016770040,11158333
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           CEILING IN THE KITCHEN  LOCATED AT APT 1, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11447094
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           CEILING IN THE 3rd ROOM  FROM NORTH AT EAST LOCATED AT APT 1, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11600327
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           NORTH WALL IN THE 1st ROOM  FROM NORTH LOCATED AT APT 1, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11600328
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE 4th ROOM  FROM NORTH,  THE 3rd ROOM  FROM NORTH AT EAST,  THE 1st ROOM  FROM NORTH,  THE BATHROOM   LOCATED AT APT 1, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11603832
SECTION 27-2005 ADM CODE  PROPERLY SECURE THE LOOSE NEWEL POST AND HANDRAILS AT PUBLIC HALL STAIRS BETWEEN 2ND AND 3RD STORIES,1016770040,11852398
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT EAST WALL  AT PUBLIC HALL, 1st STORY",1016770040,11903527
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE GROUT AROUND BATHTUB  IN THE BATHROOM  LOCATED AT APT 16, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",1016770040,11903456
"SECTION 27-2043 ADM CODE  PROVIDE A LOCK AND KEY TO THE ENTRANCE DOOR OF DWELLING UNIT AND, IF A CL A MULTIPLE DWELLING, ALSO CHAIN DOOR GUARD   IN THE ENTRANCE  LOCATED AT APT 13, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11903461
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE MARBLE SADDLE  IN THE BATHROOM  LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11903484
"SECTION 27-2026 ADM CODE  RESET, SO AS TO SECURE A PROPER AND TIGHT CONNECTION, THE WATER CLOSET BOWL ,  IN THE BATHROOM  LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11903487
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST WALL  IN THE KITCHEN  LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11903490
"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING (5 SQUARE FEET)  IN THE BATHROOM  LOCATED AT APT 1, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11903504
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT CEILING AT BULKHEAD  AT PUBLIC HALL, 5th STORY",1016770040,11903515
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING AT BULKHEAD  AT PUBLIC HALL, 5th STORY",1016770040,11903516
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT NORTH WALL  AT PUBLIC HALL STAIRS, 1st STORY",1016770040,11903522
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT NORTH WALL  AT PUBLIC HALL STAIRS, 1st STORY",1016770040,11903523
D26-10.01 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE HAND RAIL 1ST STY PUBLIC HALL TO CELLAR STAIR.,1016770040,2566682
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING AND ALL WALLS  IN THE ENTIRE APARTMENT  LOCATED AT APT 3, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11903534
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE HINGES AT DOOR  IN THE ENTRANCE  LOCATED AT APT 1E, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11903549
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING AND ALL WALLS  IN THE ENTIRE APARTMENT  LOCATED AT APT 1E, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11903546
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE FOYER  LOCATED AT APT 1E, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11903551
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILINGS AND WALLS THROUGHOUT  IN THE ENTIRE APARTMENT  LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11969519
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  CEILING & WALLS THROUGHOUT  AT PUBLIC HALL, 1st STORY",1016770040,11969622
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING & WALLS THROUGHOUT  AT PUBLIC HALL, 2nd STORY",1016770040,11969629
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING & WALLS THROUGHOUT  AT PUBLIC HALL, 3rd STORY",1016770040,11969634
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING & WALLS THROUGHOUT  AT PUBLIC HALL, 4th STORY",1016770040,11969641
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING & WALLS THROUGHOUT  AT PUBLIC HALL, 5th STORY",1016770040,11969646
SECTION 27-2011 ADM CODE  CLEANSE TO THE SATISFACTION OF THIS DEPARTMENT THE STAIRS LANDINGS AND FLOORS AT ALL STORY  AT PUBLIC HALL,1016770040,11969654
"SECTION 27-2005, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES FLOWER POTS, AT FRONT. , 2nd STORY",1016770040,11989849
"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE.  LOCATED AT APT 3, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11989857
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE.  LOCATED AT APT 3, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11989858
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 16, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",1016770040,11158341
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE SPRING BALANCE AT LOWER WINDOW SASH 2ND WINDOW FROM NORTH AT EAST  IN THE KITCHEN  LOCATED AT APT 1, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11447095
SECTION 27-2005 ADM CODE  PROPERLY SECURE THE LOOSE NEWEL POST AND HANDRAILS AT PUBLIC HALL STAIRS BETWEEN 3RD AND 4TH STORIES,1016770040,11852392
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL GLAZE AT BATHTUB  IN THE BATHROOM  LOCATED AT APT 16, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",1016770040,11903455
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT  LOCATED AT APT 13, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11903457
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 13, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11903458
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND WEST WALL  IN THE BATHROOM  LOCATED AT APT 4, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",1016770040,11903508
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT  LOCATED AT APT 4, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",1016770040,11903510
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 4, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",1016770040,11903511
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 1, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,8775019
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING UPPER AND LOWER ESCUTCHEONS AT STEAM RISER  IN THE BATHROOM  LOCATED AT APT 15, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,10862214
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 1E, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11447102
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL GLAZE AT BATHTUB  IN THE BATHROOM  LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11903488
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 4th ROOM  FROM EAST LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11903492
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE REFRIGERATOR DOOR GASKET  IN THE KITCHEN  LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11969522
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING & WALLS  IN THE KITCHEN  LOCATED AT APT 7, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",1016770040,11969598
"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 13, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",1016770040,11992244
SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE  CONCRETE TREAD 6 FROM BOTTOM FRONT STREET TO CELLAR STAIRS.,1016770040,2566706
SECTION 27-2018 ADM CODE  ABATE THE NUISANCE CONSISTING OF RODENTS RATS  AT 2nd AIR SHAFT  FROM EAST,1016770040,8389524
"SECTION 185, 240  M/D LAW  PROPERLY FIRE RETARD IN ACCORDANCE WITH THE RULES AND REGULATIONS OF THIS DEPARTMENT THE CELLAR CEILING THROUGHOUT",1016770040,8447238
"SECTION 27-2010, 2011, 2012 ADM CODE  REMOVE THE ACCUMULATION OF REFUSE AND/OR RUBBISH AND MAINTAIN IN A CLEAN CONDITION THE DEBRIS IN AIR SHAFT AT WEST",1016770040,9995298
"SECTION 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYï¿½ï¿½ï¿½S HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",1016770040,12212657
"SECTION 27-2104 ADM CODE  POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",1016770040,12212658
"SECTION 329, M/D LAW AND DEPT. RULES AND REGS.  PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR MISSING   AT PUBLIC HALL, 1st STORY",1016770040,12212661
