novdescription,class,violationstatus,bbl
"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           EAST WALL IN THE KITCHEN  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",C,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM WINDOW TO FIRE ESCAPE OR PROVIDE APPROVED TYPE GATE ....  IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). INOPERATIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR INOPERATIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           SOUTH WALL IN THE BATHROOM  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           WEST WALL,         SOUTH WALL IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY SECURE THE LOOSE BASE CABINET AT SINK  IN THE KITCHEN  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING WASHBASIN  IN THE BATHROOM  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR UNDER BASE CABINET AT SINK  IN THE KITCHEN  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC WALL TILES AT NORTH WALL  IN THE BATHROOM  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE BATHROOM ,  THE KITCHEN ,  THE 1st ROOM  FROM NORTH AT EAST,  THE 2nd ROOM  FROM NORTH AT EAST,  THE 1st ROOM  FROM NORTH AT WEST  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM WINDOW TO FIRE ESCAPE OR PROVIDE APPROVED TYPE GATE ,  IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING  IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",C,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT NORTH WALL  IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT BATH TUB  IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST WALL  IN THE KITCHEN  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  IN THE KITCHEN  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE CONNECTION OF WASTE PIPE UNDER SINK  IN THE KITCHEN  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  IN THE FOYER  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... 30 SQFT  AT CEILING, 30 SQFT AT SOUTH WALL, 10 SQFT AT WEST WALL 10 SQFT AT EAST WALL AND WINDOW FRAME, 10 SQFT AT NORTH WALL  IN THE BATHROOM  LOCATED AT APT 12, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",C,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS SHOWER HEAD  IN THE BATHROOM  LOCATED AT APT 12, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT BATHTUB  IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOOR TILES  IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT BATHTUB  IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM AT LEAST 1 WINDOW OR PROVIDE APPROVED TYPE GATE AIR CONITION AT FIRE ESCAPE  WINDOW  IN THE ENTIRE APARTMENT  LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REFIT ALL  WINDOWS TOTAL 5  IN THE ENTIRE APARTMENT  LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",A,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT           CEILING IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE BATHROOM ,  THE KITCHEN ,  THE 4th ROOM  FROM NORTH,  THE 3rd ROOM  FROM NORTH  LOCATED AT APT 2, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",A,Close,1016880044
"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT THE WEST WALL (APPROX 8 SQ FT) AND EAST WALL (APPROX 4 SQ FT)  IN THE BATHROOM  LOCATED AT APT 18, 6th STORY, APARTMENT AT  NORTH",B,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT THE SINK  IN THE KITCHEN  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOODEN FLOOR  IN THE KITCHEN  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC TILES AT THE WEST WALL  IN THE BATHROOM  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2026 ADM CODE  REPLACE THE BROKEN OR DEFECTIVE MISSING WASHBASIN  IN THE BATHROOM  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE GROUT AT CERAMIC TILES WALLS  IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE CAULKING AROUND BATHTUB  IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE KITCHEN ,  THE FOYER   LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, APARTMENT AT  NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING  IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, APARTMENT AT  NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR  SOUTH WALL  IN THE BATHROOM  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC WALL TILES   IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOOR TILES  IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",B,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT TUB  IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",B,Close,1016880044
SECTION  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED  AT CELLAR,C,Close,1016880044
"SECTION 27-2029 ADM CODE  PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",C,Close,1016880044
"SECTION 27-2031 ADM CODE  PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",C,Close,1016880044
"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT NORTH AND EAST WALLS, APPROXIMATELY 25 SQUARE FEET  IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",C,Close,1016880044
"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING  IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2018 ADM CODE  ABATE THE NUISANCE CONSISTING OF VERMIN ANTS,   LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",B,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES CONSISTING OF SCAFOLD ELEMENTS OBSTRUCTING FIRE ESCAPE DROP LADDER AT SECOND STY FIRE ESCAPE BALCONY AT BUILDING FRONT STACK",B,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES CONSISTING OF CONSTRUCTION ITEMS  AT SECOND STY FIRE ESCAPE BALCONY AT BUILDING FRONT STACK",B,Close,1016880044
"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING  IN THE BATHROOM  LOCATED AT APT 18, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM WINDOW TO FIRE ESCAPE OR PROVIDE APPROVED TYPE GATE WINDOW GUARD INSTALLED AT FIRE ESCAPE  WINDOW  IN THE 1st ROOM  FROM NORTH AT EAST LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  ARRANGE AND MAKE SELF-CLOSING THE DOORS ....  IN THE ENTRANCE  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING BALUSTERS AT, BALUSTRADE FROM TOP TO BOTTOM, METAL STAIR , AT CELLAR, EAST  YARD",C,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING BALUSTER AT BALUSTRADES , METAL STAIR , AT CELLAR, FRONT  YARD",C,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE SHOWER KNOB   IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT            SOUTH WALL IN THE KITCHEN  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE & 309 M/D LAW  ABATE THE NUISANCE CONSISTING OF  INOPERABLE GATE ,AT WINDOW TO FIRE ESCAPE,  IN THE 1st ROOM  FROM NORTH AT EAST LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING ELECTRICAL OUTLET COVER AT SOUTH WALL  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE GASKET SEAL AT REFRIGERATOR DOOR  IN THE KITCHEN  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE SOUTH  WALL  IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE CONNECTION AT WASTE LINE UNDER THE SINK  IN THE KITCHENETTE  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION AT           1st DOOR  FROM EAST AT SOUTH WALL IN THE FOYER  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT           SOUTH WALL,         EAST WALL IN THE FOYER  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT           SOUTH WALL,         CEILING IN THE BATHROOM  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)          1st RISER  FROM NORTH AT EAST WALL IN THE PRIVATE HALLWAY  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",C,Close,1016880044
"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           1st DOOR FRAME  FROM EAST AT SOUTH WALL IN THE FOYER  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",C,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE KITCHENETTE ,  THE 1st ROOM  FROM NORTH AT WEST  LOCATED AT APT 9, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
